# A|B|C|D
0.21|0.26|0.64|0.17
0.62|0.27|0.39|0.78
0.47|0.40|0.90|0.55
0.34|0.94|0.79|0.18
0.21|0.95|0.14|0.76
0.69|0.91|0.01|0.76
0.30|0.49|0.07|0.92
0.27|0.22|0.02|0.55
0.42|0.73|0.88|0.44
0.63|0.37|0.07|0.37
0.78|0.35|0.10|0.65
0.64|0.02|0.39|0.76
0.20|0.68|0.63|0.67
0.03|0.13|0.77|0.17
0.67|0.00|0.23|0.01
0.86|0.23|0.72|0.27
0.25|0.60|0.56|0.26
0.49|0.91|0.11|0.87
0.01|0.48|0.74|0.94
0.57|0.60|0.57|0.38
0.68|0.22|0.86|0.28
0.08|0.30|0.07|0.52
0.67|0.74|0.41|0.44
0.69|0.59|0.54|0.76
0.23|0.96|0.92|0.66
0.31|0.96|0.78|0.79
0.44|0.88|0.17|0.18
0.08|0.93|0.46|0.96
0.05|0.20|0.45|0.63
0.31|0.60|0.31|0.73
0.09|0.38|0.56|0.31
0.37|0.91|0.04|0.20
0.78|0.03|0.14|0.95
0.26|0.65|0.42|0.67
0.90|0.21|0.36|0.95
0.01|0.87|0.19|0.99
0.54|0.16|0.42|0.68
0.10|0.05|0.17|0.56
0.72|0.49|0.82|0.22
0.99|0.57|0.34|0.05
0.26|0.11|0.37|0.07
0.55|0.31|0.45|0.58
0.48|0.53|0.86|0.62
0.33|0.16|0.79|0.91
0.49|0.49|0.03|0.99
0.32|0.36|0.43|0.34
0.59|0.01|0.79|0.46
0.53|0.07|0.67|0.44
0.23|0.04|0.45|0.12
#0.94|0.54|0.65|Zahya
